,Sales ID,Sales Price,Machine ID,Model ID,datasource,Auctioneer ID,Year Made,MachineHours CurrentMeter,Usage Band,Sales date,Model Description,Base Model,Secondary Description,Model Series,Model Descriptor,Machine Size,Product Class Description,State of Usage,Product Group,Product Group Description,Driver System,Enclosure,Control,Touchpad Type,Control Type,Version,Transmission,Turbo Charged,Extra features,Machine Width,Clean Room,Engine Horsepower,Hydraulics,Push Block,Ripper,Scarifier,Tip Control,Screen Size,Coupler,Couple System,Grouser Tracks,Hydraulics Flow,Tupper Type,Screen Size.1,Stick Length,Thumb,Pattern Changer,Grouser Type,Backhoe Mounting,Blade Type,Travel Possibilities,Differential Type,Steering Controls
0,1139246,,999089,3157,121,3.0,2004,68.0,Low,11/16/2006 0:00,521D,521,D,,,,Type E - 110.0 to 120.0 Horsepower,Alabama,WL,Germany,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
1,1139248,,117657,77,121,3.0,1996,4640.0,Low,3/26/2004 0:00,950FII,950,F,II,,Medium,Type E - 150.0 to 175.0 Horsepower,North Carolina,WL,Germany,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,23.5,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
2,1139249,,434808,7009,121,3.0,2001,2838.0,High,2/26/2004 0:00,226,226,,,,,Type F - 1351.0 to 1601.0 Lb Operating Capacity,New York,SSL,France,,OROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
3,1139251,,1026470,332,121,3.0,2001,3486.0,High,5/19/2011 0:00,PC120-6E,PC120,,-6E,,Small,Type C - 12.0 to 14.0 Metric Tons,Texas,TEX,UK,,EROPS w AC,,,,,,,,,,,2 Valve,,,,,,None or Unspecified,,,,,,,,,,,,,,
4,1139253,,1057373,17311,121,3.0,2007,722.0,Medium,7/23/2009 0:00,S175,S175,,,,,Type F - 1601.0 to 1751.0 Lb Operating Capacity,New York,SSL,France,,EROPS,None or Unspecified,,,,,,,,,,Auxiliary,,,,,,None or Unspecified,None or Unspecified,None or Unspecified,Standard,,,,,,,,,,,
5,1139255,,1001274,4605,121,3.0,2004,508.0,Low,12/18/2008 0:00,310G,310,G,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,BL,USA,Four Wheel Drive,OROPS,None or Unspecified,None or Unspecified,No,Extended,Powershuttle,None or Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,
6,1139256,,772701,1937,121,3.0,1993,11540.0,High,8/26/2004 0:00,790ELC,790,E,,LC,Large / Medium,Type C - 21.0 to 24.0 Metric Tons,Florida,TEX,UK,,EROPS,,,,,,,,,,,Standard,,,,,,None or Unspecified,,,,Steel,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
7,1139261,,902002,3539,121,3.0,2001,4883.0,High,11/17/2005 0:00,416D,416,D,,,,Type B - 14.0 to 15.0 Ft Standard Digging Depth,Illinois,BL,USA,Four Wheel Drive,OROPS,None or Unspecified,Reversible,No,Standard,Standard,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
8,1139272,,1036251,36003,121,3.0,2008,302.0,Low,8/27/2009 0:00,430HAG,430,HAG,,,Mini,Type C - 3.0 to 4.0 Metric Tons,Texas,TEX,UK,,EROPS,,,,,,,,,,,Auxiliary,,,,,,Manual,,,,Rubber,None or Unspecified,None or Unspecified,None or Unspecified,None or Unspecified,Double,,,,,
9,1139275,,1016474,3883,121,3.0,1000,20700.0,Medium,8/9/2007 0:00,988B,988,B,,,Large,Type E - 350.0 to 500.0 Horsepower,Florida,WL,Germany,,EROPS w AC,None or Unspecified,,None or Unspecified,,,,,,,,2 Valve,,,,,None or Unspecified,None or Unspecified,,,,,,,,,,,,,Standard,Conventional
